_id,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2778,2778,2017,CA,NPS,YNP,WOLFE,00000132,2017/09/11 00:00:00+00,2017/10/06 00:00:00+00,1,7,1,0.07928222,,,{74505C6F-8132-44A7-A0E7-71715A7694FD},132,,2010,515.8203125,81.458995002859
2779,2779,2017,CA,NPS,YNP,EL CAP,00000050,2017/07/08 00:00:00+00,2017/07/08 00:00:00+00,9,7,1,0.2380705,,,{B44DC118-B01D-4CFD-84B1-125F7AFA41FF},50,,2010,1542.62890625,140.845680646789
2780,2780,2017,CA,NPS,YNP,COYOTE ROCKS,00000115,2017/06/26 00:00:00+00,2017/08/26 00:00:00+00,9,7,1,0.07936285,,,{69FC7218-5DFC-4EDE-A59B-492DC7CBF96D},115,,2010,515.3359375,81.4149796125053
2781,2781,2017,CA,NPS,RNP,DRAKE 2,00001716,2017/09/21 00:00:00+00,2017/09/21 00:00:00+00,9,1,1,8.266294,"maybe vehicle start, CalFire #172777",,{56C677C4-271A-42A4-AC12-71A0485C7910},1716,,2010,54023.84765625,1290.74394211281
2782,2782,2017,CA,NPS,YNP,AVALANCH VEHICLE FIRE,00000022,2017/06/21 00:00:00+00,2017/06/21 00:00:00+00,10,7,1,0.07949797,,,{1EA785DA-7BF5-4A8A-845B-09AEA57C21AB},22,,2010,514.3515625,81.3248244059462
2783,2783,2017,CA,NPS,RNP,A RANCH,00001715,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,1,1,1,0.002815646,,,{2145B164-A0B4-49B4-B9A2-3CF75D925B64},1715,,2010,18.37109375,19.2463789590737
2784,2784,2017,CA,NPS,YNP,JAY,00000088,2017/08/02 00:00:00+00,2017/09/12 00:00:00+00,1,7,1,0.157021,,,{96232568-8D56-4893-8512-3656FFFBCCE5},88,,2010,1019.9453125,114.53783486949
2785,2785,2017,CA,NPS,YNP,INSPIRATION,00000063,2017/07/16 00:00:00+00,2017/07/26 00:00:00+00,9,7,1,0.2380988,,,{B4A35327-93DC-4700-8011-A87F9E93BFDC},63,,2010,1542.35546875,140.831291952388
2786,2786,2017,CA,NPS,KNP,NORTH GUARD,00000073,2017/07/18 00:00:00+00,2017/11/27 00:00:00+00,1,2,1,8.235841,,,{83E3673D-01BC-4860-A47D-C61F77119D7F},73,,2010,52024.86328125,1405.36722698861
2787,2787,2017,CA,NPS,YNP,INDIAN CANYON,00000089,2017/08/02 00:00:00+00,2017/08/03 00:00:00+00,1,7,1,0.07938903,,,{8442C01C-7B4B-477E-899F-83939AC1FFF9},89,,2010,515.1484375,81.3974106378764
2788,2788,2017,CA,NPS,BNP,HARDIN,00000741,2017/07/25 00:00:00+00,2017/08/12 00:00:00+00,1,8,1,0.09953451,,,{527BC3A1-CB29-4E20-B91C-0287016DBB3A},741,,2010,724.3984375,95.5312365362914
2789,2789,2017,CA,NPS,YNP,VERNON,00000058,2017/07/12 00:00:00+00,2017/07/12 00:00:00+00,1,7,1,0.07913565,,,{B03C534B-7F1E-4563-88A9-733508563DB4},58,,2010,516.64453125,81.5376974064441
2790,2790,2017,CA,NPS,YNP,MORRISON,00000131,2017/09/11 00:00:00+00,2017/09/24 00:00:00+00,1,7,1,0.0792798,,,{8CC46965-A974-4C90-9E7C-1810A3ABBC4A},131,,2010,515.828125,81.4597059542367
2791,2791,2017,CA,NPS,YNP,ILLILOUETTE CREEK,00000135,2017/09/12 00:00:00+00,2017/09/30 00:00:00+00,1,7,1,0.07950435,,,{6FFF31DE-576E-4A4E-A6A6-C1BA2C277E21},135,,2010,514.453125,81.3310279191022
2792,2792,2017,CA,NPS,RNP,VISION,00001710,2017/07/10 00:00:00+00,2017/07/11 00:00:00+00,9,1,1,0.414853,,,{C03B4D7C-2B01-4A6D-922D-B8DA343EF9D6},1710,,2010,2715.44140625,328.328552370828
2793,2793,2017,CA,NPS,YNP,PORCUPINE CAMPGROUND,00000130,2017/09/11 00:00:00+00,2017/10/07 00:00:00+00,1,7,1,0.07934111,,,{69341CF0-2C1A-4EA2-9568-BFAC680381AB},130,,2010,515.4609375,81.4259299069379
2794,2794,2017,CA,NPS,YNP,TUNNEL,00000068,2017/07/23 00:00:00+00,2017/07/23 00:00:00+00,9,7,1,0.2380843,,,{8AAA2766-6932-4F2C-9313-E2686AFE2B47},68,,2010,1542.37890625,140.832674461099
2795,2795,2017,CA,NPS,YNP,RATTLESNAKE,00000125,2017/09/07 00:00:00+00,2017/09/15 00:00:00+00,10,1,1,14.99418,,,{A4696D57-7387-4C89-BAB7-0E9176BB0F28},125,,2010,97160.19140625,1950.66195392533
2796,2796,2017,CA,NPS,YNP,NORTH DOME,00000091,2017/08/02 00:00:00+00,2017/08/06 00:00:00+00,1,7,1,0.1571503,,,{51B8B1E5-6523-42BB-9858-9EC7522C3E51},91,,2010,1019.25390625,114.491473050059
2797,2797,2017,CA,NPS,YNP,SENTINEL,00000134,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,1,7,1,0.07944368,,,{B6B2B1F7-EAEB-45F9-AC18-1DD92D315E87},134,,2010,514.8125,81.3647369626877
2798,2798,2017,CA,NPS,MNP,FORD LAKE,00010693,2017/07/10 00:00:00+00,2017/07/11 00:00:00+00,1,1,1,3.757229,,,{B5571A49-D6D0-48E6-A63D-AF0B85F7376A},10693,,2010,22745.06640625,1611.29100061304
2799,2799,2017,CA,NPS,MNP,GRANITE,00010636,2017/07/08 00:00:00+00,2017/07/11 00:00:00+00,1,1,1,4.578662,,,{A7A1D076-11D8-4B7A-8C2C-94391CF9BBF7},10636,,2010,27542.01171875,982.224343162874
2800,2800,2017,CA,NPS,YNP,KNOB 91,00000095,2017/08/04 00:00:00+00,2017/09/12 00:00:00+00,1,7,1,0.3168842,,,{3D39D6FC-CB0F-4AE1-A5F4-F108BC234E1D},95,,2010,2061.265625,162.838639743116
2801,2801,2017,CA,NPS,YNP,MARKET,00000110,2017/08/15 00:00:00+00,2017/08/15 00:00:00+00,9,7,1,0.07963382,,,,110,,2010,513.56640625,81.2491382571913
2802,2802,2017,CA,NPS,YNP,MEADOW,00000021,2017/06/21 00:00:00+00,2017/06/22 00:00:00+00,9,7,1,0.07965158,,,{AF40FF60-D2CC-40C7-86CC-C6199029B2A1},21,,2010,513.4609375,81.237997212172
2803,2803,2017,CA,NPS,YNP,PORCUPINE,00000090,2017/08/02 00:00:00+00,2017/11/02 00:00:00+00,1,1,1,10.51803,,,{05268CF9-9B4B-4463-814C-95F48BBD44D4},90,,2010,68334.44140625,2641.75444017379
2804,2804,2017,CA,NPS,YNP,INDIAN ROCK,00000140,2017/09/15 00:00:00+00,2017/09/24 00:00:00+00,1,7,1,0.07936616,,,{7301924E-7ADB-46B6-AE64-D619E4ABFC4F},140,,2010,515.3046875,81.4116485239638
2805,2805,2017,CA,NPS,BNP,SHALE,00000800,2017/07/27 00:00:00+00,2017/08/12 00:00:00+00,1,8,1,28.70875,,,{1B75773F-BB61-4B60-96E8-8F38CE7B7940},800,,2010,209151.5703125,2188.90759749652
2806,2806,2017,CA,NPS,YNP,BLUE,00000087,2017/08/02 00:00:00+00,2017/09/12 00:00:00+00,1,7,1,0.157016,,,,87,,2010,1019.9765625,114.540077616206
2807,2807,2017,CA,NPS,YNP,STARR KING,00000086,2017/08/02 00:00:00+00,2017/11/03 00:00:00+00,1,7,1,56.16541,,,{2D44AE37-3ECA-4147-9F1F-4C07CBFBA806},86,,2010,363849.640625,4415.59846779984
2808,2808,2017,CA,NPS,YNP,CRANE,00000142,2017/09/20 00:00:00+00,2017/09/20 00:00:00+00,9,7,1,0.07941185,,,{BAE77E0A-1B6F-4AD6-A552-DB24E6F1EE4A},142,,2010,514.8515625,81.3708555282933
2809,2809,2017,CA,CCO,LDF,LA TUNA,00000965,2017/09/01 00:00:00+00,2017/09/08 00:00:00+00,14,8,1,7051.351,"5 residential structures, 5 outbuildings lost",,,,,2010,41848445.265625,39362.4635113843
2810,2810,2017,CA,USF,MDF,PARKER2 ,00000862,2017/08/03 00:00:00+00,2017/08/15 00:00:00+00,1,3,1,7693.319,,,{9DEC180B-7F52-4A56-8559-307844FED367},,,2010,55487039.4335938,154167.754522116
2811,2811,2017,CA,NPS,YNP,SOUTH FORK,00000108,2017/08/13 00:00:00+00,2017/11/03 00:00:00+00,1,8,1,7560.077,no new growth past 10/11,,{16DBB6FA-1D4C-4FED-9DF6-D08875DF84DD},,,2010,48763696.6640625,109839.559860642
2812,2812,2017,CA,CDF,LNU,REDWOOD VALLEY,00012172,2017/10/08 00:00:00+00,2017/10/25 00:00:00+00,14,8,1,36522.95,,MENDOCINO LAKE COMPLEX,,,,2010,247373450.597656,138169.276738241
2813,2813,2017,CA,USF,RRS,ABNEY,00000568,2017/08/10 00:00:00+00,2018/01/09 00:00:00+00,1,8,1,32893.26,,MILLER COMPLEX,,,,2010,240885915.570312,174124.472395045
2814,2814,2017,CA,USF,RRS,KNOX,00000612,2017/08/11 00:00:00+00,2017/11/28 00:00:00+00,1,8,1,492.5997,CONTDATE based on fire out date,MILLER COMPLEX,,,K9PL,2010,3608915.0234375,14253.2429479054
2815,2815,2017,CA,USF,INF,GOODALE,00001157,2017/07/24 00:00:00+00,2017/08/28 00:00:00+00,1,2,1,0.1962595,,,{2664A79B-4D1E-4CDC-B5C0-898C3DBC1DE2},,,2010,1246.75,139.542486560575
