,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
150,ALMOND,2023-08-02 00:00:00+00:00,2023/08/03 00:00:00+00,14.0,1.0,14.43536,,575218.65625,5876.39431740366
151,EAST,2023-08-01 00:00:00+00:00,2023/08/01 00:00:00+00,14.0,1.0,1291.166,,7899533.1953125,15390.5216597692
152,COMANCHE,2023-08-01 00:00:00+00:00,2023/08/01 00:00:00+00,14.0,1.0,4.387525,,26755.98828125,786.570330819241
153,HABERKERN,2023-07-31 00:00:00+00:00,2023/08/01 00:00:00+00,14.0,1.0,34.74714,,209238.98828125,3222.64980333255
154,DOOLITTLE,2023-07-31 00:00:00+00:00,2023/07/31 00:00:00+00,14.0,1.0,16.6,,16168.75390625,721.610566392573
155,BREEZE,2023-07-31 00:00:00+00:00,2023/08/04 00:00:00+00,14.0,6.0,22.55552,,131573.48828125,1749.77071460087
156,BEALE,2023-07-31 00:00:00+00:00,2023/08/01 00:00:00+00,14.0,1.0,60.6251,,368792.39453125,3734.17974082288
157,SHELL,2023-07-30 00:00:00+00:00,2023/08/03 00:00:00+00,10.0,1.0,114.7964,,701703.50390625,4835.69047899195
158,OLIVE,2023-07-29 00:00:00+00:00,2023/07/29 00:00:00+00,2.0,1.0,20.67,,143460.0078125,2544.54186805971
159,GREY,2023-07-29 00:00:00+00:00,2023/07/29 00:00:00+00,2.0,1.0,11.02161,,71534.49609375,1156.6235552905
160,SCODIE,2023-07-28 00:00:00+00:00,2023/07/31 00:00:00+00,14.0,1.0,20.61374,,126800.3203125,4049.18938777411
161,YORK,2023-07-28 00:00:00+00:00,2023/08/20 00:00:00+00,14.0,7.0,93077.87,,566824238.953125,264117.491457845
162,BONNY,2023-07-26 00:00:00+00:00,2023/08/07 00:00:00+00,14.0,1.0,2323.106,,13545480.4726562,30310.0484777186
163,TRAIL,2023-07-26 00:00:00+00:00,2023/07/27 00:00:00+00,14.0,3.0,1.655345,,9795.05078125,785.699282226667
164,TURKEY,2023-07-26 00:00:00+00:00,2023/07/31 00:00:00+00,7.0,1.0,52.17383,,354598.3046875,3866.55622041301
165,SPENCEVILLE,2023-07-26 00:00:00+00:00,2023/07/31 00:00:00+00,2.0,1.0,10.8,,71087.25,1270.33273404977
166,AGUA,2023-07-25 00:00:00+00:00,2023/08/08 00:00:00+00,14.0,6.0,426.2046,,2541744.765625,8617.84886226543
167,OAK,2023-07-25 00:00:00+00:00,2023/07/25 00:00:00+00,5.0,1.0,0.1144218,,703.0,158.40083660076
168,VICTOR,2023-07-25 00:00:00+00:00,2023/07/27 00:00:00+00,4.0,7.0,57.49,,343984.6484375,3500.44681430332
169,LONG,2023-07-25 00:00:00+00:00,2023/07/27 00:00:00+00,15.0,1.0,27.6025,,171684.02734375,2019.18265395744
170,WONDER,2023-07-24 00:00:00+00:00,2023/07/28 00:00:00+00,6.0,1.0,161.8137,,1141858.58984375,7184.88555633728
171,WINCHELL,2023-07-23 00:00:00+00:00,2023/07/23 00:00:00+00,14.0,1.0,16.7198,,106055.9609375,1484.09619913576
172,COWTRACK,2023-07-20 00:00:00+00:00,2023/07/20 00:00:00+00,14.0,1.0,322.9609,,2101383.6796875,6473.23534352879
173,IDRIA,2023-07-19 00:00:00+00:00,2023/07/19 00:00:00+00,14.0,2.0,296.6445,,1860464.30078125,10225.7742396832
174,BODFISH,2023-07-19 00:00:00+00:00,2023/07/20 00:00:00+00,14.0,1.0,52.75753,,321188.984375,2453.60466606071
175,Winterhaven Drive,2023-07-18 00:00:00+00:00,2023/07/21 00:00:00+00,14.0,6.0,62.32319,,357554.9921875,2540.43238541355
176,JUNIPER,2023-07-18 00:00:00+00:00,2023/07/19 00:00:00+00,10.0,1.0,11.1383,,66810.0,1221.56231171251
177,COUSER 2,2023-07-18 00:00:00+00:00,2023/07/18 00:00:00+00,14.0,1.0,3.5,,20184.62890625,649.536383504187
178,JARDINE,2023-07-16 00:00:00+00:00,2023/07/16 00:00:00+00,3.0,1.0,2.151939,,13226.49609375,629.646022269677
179,TANWOODS,2023-07-16 00:00:00+00:00,2023/07/16 00:00:00+00,14.0,4.0,9.532271,,63489.2890625,1306.55259728356
180,SLACKS,2023-07-15 00:00:00+00:00,2023/07/17 00:00:00+00,10.0,1.0,40.41796,,249660.2734375,2407.16695678565
181,GAVILAN,2023-07-15 00:00:00+00:00,2023/07/23 00:00:00+00,14.0,2.0,334.5828,,1966205.47265625,7959.66657521688
182,RABBIT,2023-07-14 00:00:00+00:00,2023/07/23 00:00:00+00,10.0,1.0,8354.776,,49193097.9453125,47639.7437077098
183,GRANITE,2023-07-14 00:00:00+00:00,2023/07/23 00:00:00+00,4.0,8.0,178.1577,,1093542.12890625,6911.54494425484
184,RECHE,2023-07-14 00:00:00+00:00,2023/07/23 00:00:00+00,7.0,2.0,435.684,,2570257.99609375,8565.27516599609
185,PECK,2023-07-14 00:00:00+00:00,2023/07/15 00:00:00+00,10.0,1.0,14.3992,,90620.97265625,1396.62422271891
186,HIGHLAND,2023-07-14 00:00:00+00:00,2023/07/23 00:00:00+00,14.0,1.0,104.0207,,612635.0234375,3915.57257152357
187,PAICINES,2023-07-13 00:00:00+00:00,2023/07/13 00:00:00+00,10.0,1.0,13.59313,,85835.91796875,1776.4387595018
188,MID,2023-07-13 00:00:00+00:00,2023/07/13 00:00:00+00,14.0,1.0,4.990486,,30309.01171875,777.184071121593
189,DURA,2023-07-12 00:00:00+00:00,2023/07/12 00:00:00+00,2.0,1.0,28.96,,202759.47265625,2702.15051105932
190,DRY,2023-07-12 00:00:00+00:00,2023/07/21 00:00:00+00,14.0,6.0,16.75898,,100156.140625,1554.75127540151
191,CARBON,2023-07-11 00:00:00+00:00,2023/07/11 00:00:00+00,9.0,1.0,58.76023,,388221.953125,2548.73877855158
